text,label,language
سحل متظاهرين بالقصر العيني - ليعلنها #مرسي بصراحة-هل انت فاقد السيطرة على الداخلية؟ أم انت المسؤول؟,0,arabic
이런 너한테 뭐든지 재미있어 보이지 않는구나.,1,korean
"아, 그럼 제가 연습만 하면 되겠네요. 왜 생각도 못 했을까요?",0,korean
@USER Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,1,english
I have to live with my roommate for 2.5 more days and I question whether my sanity can even take that.,0,english
مستشفى_الجلاءرغم كل ما حدث و يحدث و سيحدث ستظل #بنغازي صمام آمان الوطن و #لابد_من_ليبيا_و_إن_طال_النضال بسواعد أبطال شجعان و عقول نيرة,0,arabic
毕业论文的事情,0,chinese
我就不信他真要上学堂,0,chinese
رغم آلاف الصور التي توثق آلاف الجرائم الممنهجة بحق الشعب السوري والانسانية جمعاء. لم يتحرك المجتمع الدولي الا... http,0,arabic
我说陆处长啊,0,chinese
user اصل داشت ويندوز 10,0,arabic
كلب دجال حقير كان يقتل اطفال سوريا ويحارب مع جبهة النصره الارهابيه والان يتباكى على حلب لماذا لم تتباكى عندما قتلوا… http,1,arabic
"아, 당신이 그런 식으로 경제를 살리려고 하는 거였군요.",1,korean
不都成了给你一人捧臭脚了,1,chinese
@USER @USER I've withdrawn over 5 figures approaching 6 with no issue don't care g,0,english
"그렇군요, 가족들이 당신을 이해하고 도와줘서 정말 다행입니다.",0,korean
"오호, 넌 정말 바쁠 거 같아. 꿈이 참 많네.",0,korean
最多能跑三公里还剩两公里呢,0,chinese
我就不能顾自己的脸了,0,chinese
"아, 그렇군요. 정말 바쁘게 보내시는 거 같아요.",1,korean
user ما شاء الله الاقرع فيه شبه من بوتن,1,arabic
sometimes when my dad is mad at me i call him papa smurf and it makes him even more mad but i think it’s hella funny,0,english
요르단에서의 도전정신은 또 다른 성장의 기회였겠네요.,0,korean
"네, 그렇습니다. 결혼 후의 평화는 조카와 강아지가 전부입니다.",1,korean
ورضيت أعيشلك انت يا حبيبي كفايه ان انت حبيبي #عمرو_دياب,0,arabic
الأمم_المتحدة تنتظر موافقة #دمشق و #موسكو على هدنة جديدة في #حلب,0,arabic
وقالو سعيدة في حياتها #إليسا,0,arabic
"아, 그래서 화장품 회사 주식이 오르는군요.",1,korean
可我想你这女朋友这么重要的事,0,chinese
بتعرفني انا يا حبيبي قلبي معلق فيك و صدقني انا انا بنسى حالي و ما بنسيك و ايام الهنا يا حبيبي عشت بقربك انت ما انت #نوال_الزغبي,0,arabic
"@USER @USER @USER Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",1,english
行啦什么也别说了干起来吧,0,chinese
이직하면 그 문제도 해결되겠네요!,1,korean
جعجع في «بيت الوسط» - فيما استمرت الاتصالات في عطلة الأسبوع من أجل وضع ملف تشكيل الحكومة على السكّة، استقبل الر... http,0,arabic
user @user روووعه صح السانك تجننن,0,arabic
Sick of being healthy already pissing like a racehorse !! Keep Well hydrated Han 4th litre of water,1,english
그럼 건강에 아주 좋겠네요.,1,korean
"user لكنه هل سيرد على التحرك الحكومي في بريطانيا للتدخل في سلطات اتحاد كرة القدم من خلال تصريح الوزيرة كراوتش لـ ""BBC",0,arabic
"아, 그러니까 요즘 노래들은 잘 안 나오는 거군요.",1,korean
"어휴, 넌 진짜 미래를 위해 생각하는 타입이네.",1,korean
从哪里跌倒,0,chinese
user: صحفية اسرائيلية للسيسى: تبيعلنا سينا بكام يا سيسىhttp,0,arabic
"Okay, well nice of 2020 to bless us with the gift of great sports team names - The Kraken and the Washington Football Team",0,english
走走,0,chinese
맞아요. 하지만 치료제 개발 소식도 들리니까 코로나 걱정을 그만하고 싶네요.,0,korean
그렇게 하시면 정말 흥미로운 식사 경험이 되겠군요.,0,korean
그럴만하잖아. 두 사람 다 노래 잘하는 게 처음인 줄 알았어?,0,korean
그래서 그 맥주가 더 특별하고 가치 있는 거죠.,0,korean
你就是想进城找你那相好的去,1,chinese
"아, 당신은 진정한 현명한 사람이시군요.",1,korean
江团长他来咱们医院看病,0,chinese
my greatest downfall is having an upset stomach then eating spicy food to make it worse.,0,english
"아, 네. 정말 체하는 경험, 기대되네요.",1,korean
大痛者必有大志,0,chinese
"아, 정말 잘했어요. 집에 물건이 넘쳐나도록 쌓여 있어야겠죠.",0,korean
그러면 당신은 이미 그 사람의 매력에 푹 빠진 거군요.,0,korean
那你看我还能不能干点别的,0,chinese
저도 그렇습니다. 특히 중간에 끼어들면 정말 광고를 보는 게 너무 싫어집니다.,0,korean
"아, 그래서 건강식으로 가는 거구나.",1,korean
你问我也没用呀,0,chinese
@USER Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! FancyAMcDonalds,1,english
"아, 그러니까 그들은 결국 자신만의 길을 찾게 되는 거군요.",1,korean
谁不知道他家庭条件困难呐,0,chinese
怎么了挨打了,0,chinese
别说是枪了连颗子弹都没少,0,chinese
@USER what time do you close today at your Regent Street store? Thank you,0,english
user مرحبا ، عندي ويندوز 10 واريد اغيره من اللغه العربيه الى الانجليزيه ويش الطريقه حاولت اكثر من مره بس ما صار,0,arabic
이사 준비도 분명 한 가지의 봉사활동일 거예요.,1,korean
i kinda wanna make a teacher instagram,0,english
"아, 그러니까 거의 터미네이터 수준이시군요!",1,korean
그런 바쁜 일상 속에서도 어떻게 그렇게 시간을 찾으시는지 정말 대단하시네요.,0,korean
سايب صاحبك يهزر معاك و يشتمك بامك ؟ معلش اصلها فكرت نفسها جابت راجل طلع #سيكو_سيكو,1,arabic
"와우, 10% 할인에 그렇게 좋아하시다니 대단하시네요.",1,korean
그러게요. 사실 저도 경을 읽을 때마다 탁월한 소설을 읽는 기분이 들더라고요.,1,korean
처음이 항상 어렵죠. 앞으로는 매일 삼치 잡으러 가시겠네요!,1,korean
user حت الناتو كان يقصف والنَّاس يكبروا يعني شي ماهو جديد,1,arabic
"저도 그런데요, 정말 이해하기가 어렵네요.",0,korean
能让白渣男的奸计得逞吗,1,chinese
耗太阳耗月亮,1,chinese
سيدي الفاضل اعلم جيدا ان #دحلان_عميل و #ضاحي_خلفان إنما هم كلاب ضالة أطلقها أسيادهم,1,arabic
"아, 그러면 너 여행 재밌게 할 수 있겠다.",1,korean
"정말이지, 그 디자인을 본 후로 제 인생이 변했어요.",1,korean
"dad: ""are ya sending any of those boys from 5soz (wtf is a 5soz dad) a valentines gift?"" me: yes dad yes i am cuz im dating all of them duh",1,english
its 3 30 am and I have decided the only redeeming quality of a male is that I can put my freezing cold toes on him and leach his warmth,1,english
行啊你小哥,0,chinese
Even if you're fully vaccinated the CDC recommends still being nice to me. I am fragile,0,english
The meaning behind Little Talks - @USER has to be the most pure example of love I've heard in a song for at least a little while ILoveYou,0,english
Tried the first hour or so of Tales of Arise and it's already showing good signs. Only major issue I have is the lack of the local co-op I've come to expect from Tales.,0,english
ariana literally can’t make a bad song i said what i said,0,english
"와우, 진짜 풍족하게 사네.",0,korean
"와, 진짜 우리 집에도 감자 보관소를 하나 설치해야겠어요.",0,korean
"아, 그래? 나 혹시 상여금 안 줄까 봐 걱정이더라.",0,korean
그럼 운동을 좀 하셨다는 거네요. 체력이 좋아지셨겠어요.,1,korean
아 그렇군요. 이번 태풍으로 인해서 명절에 큰 피해가 없길 바랍니다.,0,korean
그래서 좋은 기회가 되셨네요. 다른 음식도 잘 만드시니까요.,0,korean
Overthinking everything in life really takes a toll on you,1,english
واكتر ناس تآمنهم ما بيجي الجرح غير منهم وناس انت بعيد عنهم بتنسي معاهم الاحزان #صلاح_جاهين,0,arabic
关键是你这次进步得有点太突然,0,chinese
"와, 앱으로 공부하는 거 참 신기하네. 전 세계 사람들이 다 그걸로 영어 배우겠네.",1,korean
"아, 그러니까 건강을 위해 발에 마사지를 주는 거구나!",1,korean
"그래. 나한테도 머리가 많이 빠져서 관리해 보려고 이런저런 제품 많이 써봤는데, 그거 다 소용없어. 그냥 원래 대로 돌아가더라고.",0,korean
"아, 그럼 당신은 너무 유연하고 균형 잡힌 몸을 가지고 계신 거군요.",1,korean
"아, 그렇게 하면 완벽하게 세균을 제거할 수 있겠군요.",0,korean
"Ist jetzt vielleicht auf Anhieb nicht so schnell zu erkennen, es sind 83 Prozent Wirtschaft in einem Ausschuss. Und wenn ich das richtig überblicke, sind das deutlich mehr als 50 Prozent.",0,german
"오, 그런 특별한 메뉴를 생각해 내시다니, 정말 대단하시군요.",1,korean
"네, 마치 외계 행성을 방문하는 것처럼요.",1,korean
“بلاي ستيشن4” يدعم اللعب باستخدام كمبيوتر ويندوز…http #ريال_مدريد #برشلونة,0,arabic
"아, 정말요? 그렇게 말씀해 주시니 이제야 알겠네요. 정말 감사합니다.",0,korean
不可能,0,chinese
그래도 결과는 같을 것 같아. 아무래도 이 게임은 내가 아닌 것 같아.,0,korean
"아니요, 그런 일은 없었습니다. 제가 매운 음식을 잘 못 먹는 것이지, 다른 분들이 매운 것을 즐기는 건 문제가 없습니다.",0,korean
"그래, 근데 가격이 비싸서 좀 고민 중이야.",0,korean
人家名字很讲究的,0,chinese
Only food can turn this day around,0,english
"Ist nun mal so. Wir werden zunehmend auch im öffentlichen Raum auf Schritt und Tritt zu Werbezwecken verfolgt und getrackt, ob wir wollen oder nicht.",0,german
"그래, 문제없이 잘 쓰고 있으니까 그냥 이 폰으로 끝까지 가야겠다.",0,korean
"네, 그런데 배달이 오래 걸리는 것 같아요. 비가 와서 그런지...",0,korean
孙掌柜我也觉着没有这样的骗子,0,chinese
"그래, 돈이 너무 많아서 쿠폰으로 쓸 수밖에 없겠네.",1,korean
do i wanna get back together or do i just not want to feel the pain of a break up,0,english
你实话告诉爹,0,chinese
مبارك عنده أبناء و #مرسي عنده جماعة الوحيد اللي غلبان في البلد دي هو عدلي منصور تحسه إنه مقطوع من شجرة,1,arabic
贫血治好了又得肥胖症了,0,chinese
"네, 아마 선크림 안 바르시니까 피부가 너무 잘 보존되었겠죠.",1,korean
대학원? 그것도 아주 순탄하게 될 것 같네요.,1,korean
손톱이 어디까지 길어지려고? 다리길이까지?,0,korean
我们家老爷是看在您的面子上才同意借的,0,chinese
그치? 내일부터 가볼 생각인데 기대되네.,0,korean
It would be sick to retire and have my own green bean farm.,0,english
음... 너무 느끼해. 크림소스가 너무 많아서 목이 메어.,0,korean
"그럼요, 이런 건강한 환경을 어디서 또 느낄 수 있겠어요?",1,korean
"정말 대단하시네요, 집에만 있으면서 아이를 돌보는 게 쉽지 않을 텐데.",1,korean
"그게 뭐 어렵다는 거죠, 아이들을 집중시키는 건 너무나도 쉬운 일이잖아요.",0,korean
شاهد.. نجوم #SNL بالعربى يفاجئون لميس الحديدى بتقليدها #عمرو_أديب على الهواء http http,0,arabic
"그럼요, 올라프만큼이나 귀여운 캐릭터는 찾아보기 힘들죠.",0,korean
First day of school and spectrum internet has already shit itself. Amazing,1,english
"연어가 적다니, 다이어트에 딱 좋겠다!",1,korean
بنات عمارة انت الامل فى العيون #بنات_هندسة,0,arabic
可没见您刘队替我出头,1,chinese
그럼 말이야. 우리나라 배구 선수층이 좀 얇은 것 같아서 걱정이야.,0,korean
坏了这下你又找到同盟军了,0,chinese
정말 모든 운동에 다 재능이 있으시군요.,1,korean
그럼 집이 항상 깨끗하겠군요.,1,korean
"우와, 정말 참신한 조합을 생각하시네요.",1,korean
"아, 그럼 그 돈으로 고객들에게 무료 음식을 제공하는 게 어땠을까요? 그게 더 큰 홍보가 되지 않았을까요?",0,korean
그럼 여행 일정이 더욱 풍성해지겠네요.,0,korean
오늘은 사우나에 가지 않아도 되겠네요.,1,korean
"그래, 정말 부자가 되겠구나.",1,korean
".@USER is 100% going to post another photo with 5 holes in a fence 5 days before Lover is released, isn’t she?",1,english
打了我们个措手不及,0,chinese
my apartment is implementing a new app that lets you tattle on someone being in your parking spot smh now i actually have to pay for parking,0,english
اى دين او ملة اى رجولة او شهامة اى مهنة او مهمة تسمح لرجال بالمدافع يهاجمون نساء فى منازلهن للقبض عليهن ثم اتهامهن بحمل سلاح مصر اتهانت,0,arabic
"오, 당신 정말 트렌드를 잘 따르시네요.",0,korean
"아니, 그게 바로 너깃의 매력 아니에요?",0,korean
아니 이게 진짜 부자의 삶이구나.,0,korean
就像刚才那个魏先生,1,chinese
الثورة دي لولا الأميين ماكانتش نجحت أصلا أو على الأقل ده اللي أنا شفته يوم 28 ينايرإحنا بس مابنعرفش نكلم الناس صح والله أعلم,0,arabic
搞笑,1,chinese
你别在这儿胡说八道行不行啊,0,chinese
집안일을 하면서 물을 좀 많이 사용한 것 같습니다.,0,korean
"그럼, 당신을 위해 저 혼자 비비큐 치킨을 다 먹어버리도록 할게요.",0,korean
"아, 그러면 당신의 옷장은 무지개 같겠군요.",0,korean
"아, 당신의 예술적 감각이 참 뛰어나시군요.",1,korean
بوب ديلان مغني شعبي امريكي اخذ نوبل للادب,0,arabic
"아니, 근데 돈이 좀 부족해서 못 갈 것 같아.",0,korean
没有歧视没有霸权,1,chinese
手表的表,1,chinese
ok call me crazy but sometimes i swear i get a little kombucha buzz,0,english
Democrats do realize that if In fact trump loses he will run again in 2024 and they will have him for 12 years instead of 8 MAGA2020,0,english
قال رسول الله ﷺ(إذا سمعتم الطاعون بأرض، فلا تدخلوها، وإذا وقع بأرض، وأنتم فيها، فلا تخرجوا منها) رياض الصالحين #ريال_مدريد,0,arabic
나는 바닐라크림 콜드브루 안 좋아해. 너무 달아서 목에 안 맞아.,0,korean
"아, 그래요? 제니의 랩이 정말로 월드클래스죠.",0,korean
"오, 당신은 이미 프로페셔널 사진작가 같네요.",1,korean
كل_يوم - إضراب عمال النظافة بمطار #برشلونة#ON_E | #عمرو_اديبhttp,0,arabic
그래서 정해진 건 없다는 거죠? 이렇게 빠른 결정력이라니 대단하십니다.,1,korean
그냥 민트 맛 초코과자가 다른 과자의 맛을 좀 흐린다고 생각합니다.,0,korean
الحين اذا وحده دقرتك ليش داش خاص !! قولها ادور بوكيمون,1,arabic
"네, 저는 파파존스의 피자를 특히 좋아합니다.",0,korean
"아, 뀐 아망이요? 바로 준비해 드리겠습니다.",0,korean
user: عند زيارة المجرم بوتين لتركيا ولقاءه مع اردوغان#المفك وباقي شلة الاخونجية #حريم_السلطانلا ارى !لا اسمع !لا اتكلم ! http,1,arabic
그렇게 게으름 피우면서 어떻게 그렇게 부지런해질 수 있나요?,0,korean
有如仙鹤立于鸡群不是本地人吧,0,chinese
احتفالات الدون على طريقة #MannequinChallenge,0,arabic
我们京州市委市政府,0,chinese
I would like to motion for movie theaters to start pick up or delivery popcorn,0,english
Surely I’m not the only one who was disappointed by that ending... Bodyguard,0,english
"그래, 너의 '조금'이 얼마나 긴지 알아.",1,korean
"아, 그럼 빨리 도서관에 가서 모든 책을 대출해와야겠네.",1,korean
"그래, 밥만 줄여 먹으면 마라톤도 가능하겠네.",1,korean
I forgot to kip,0,english
"now that I’m working in the commercial talent business, I can’t help but wonder how much Jake from State Farm gets paid. I think about it every time I see a SF commercial",0,english
"어머, 이낙연의 팬이네!",1,korean
"오, 뭔가 엄청 재미있을 것 같아.",0,korean
Got razor burn on my mf armpits so that’s it this pain ain’t worth societal expectations on women,0,english
شكراً,0,arabic
저는 양궁보다는 배구가 더 재미있었습니다. 우리나라 선수들이 정말 잘하더라고요.,0,korean
行了别闹了,0,chinese
你不就看上我这一点吗,1,chinese
بسمة أمل من المستشفى - إسعاد غيرك إسعاد لنفسك,0,arabic
"아, 그럼 치즈가 가득한 치즈볼은 정말 당신의 최애 메뉴겠네요.",1,korean
"아하, 시간을 정말 효율적으로 활용하시는군요.",1,korean
"그렇군요, 아마 당신은 음악의 진정한 애호가가 될 수 있을 것 같아요.",1,korean
"아, 그래요? 영화가 훨씬 교육적인 경험이 될 수 있겠네요.",1,korean
so pumped to see @USER tonight ️,0,english
"그럼, 꼭 빙하에서 살고 있는 것 같겠네요.",1,korean
"응, 또 비행기 타야 해. 그게 여행이지 뭐.",0,korean
ال ع الشمال ده زييت #باسم_عودة الإرهابي أما ال ع اليمين ده زيت الإستقراااااااااااااااااااارررررررر #هز_ديلك …,1,arabic
"그래? 수능이 면접 준비에 지장을 주다니 뭐야, 웃기네.",0,korean
"The nice thing about being back in school is the sense of stability, the bad part is that it’s being stable in misery.",0,english
"정말 대단하십니다. 매일 균형 잡힌 식사를 하신다니, 그게 가능한 거군요!",1,korean
"우와, 그런 강도의 운동을 하셨다니 대단하십니다.",1,korean
"네, 그런데 전 주로 편의점에서 끼니를 해결했습니다.",0,korean
我说是客气,1,chinese
"그런 식감을 가진 과자를 찾기 힘든데, 다행이네요.",0,korean
"아, 브로콜리 수프라니 정말 참신하네요. 국보와는 완전히 다른 맛이겠군요.",1,korean
6 more hours and then a whoppingly massive 2days off work! wowzers!,1,english
그런 영화에 대해 꼭 알아야 할 이유가 분명히 있겠죠.,0,korean
"아, 이제 서울도 따뜻해진 줄 알았네.",0,korean
"Wishing you all the luck today @USER - we are all ROOTING for you, for change and for your freedom. All the love ️ FreeBritney",0,english
我这两只手啊在里面撑着劲呢,0,chinese
Holby City had me gripped! Best. Episode. Ever.,0,english
我只是来看看你死了没有啊,1,chinese
戏剧高手,1,chinese
"와, 너 정말 복잡한 스타일링을 잘 하네.",1,korean
가격이 올라도 그런 맛있는 떡볶이 라면 뭐 어때요.,0,korean
"그런데도 뭔가 새롭게 도전하는 게 좋은 거 같아요, 아니겠어요?",0,korean
"와, 그건 진짜 창의적인 방법이네.",1,korean
"아, 배에서 롤러코스터 체험이라... 그것도 별미네요!",1,korean
그래. 다시 듣는 게 좋아. 더 확실하게 배울 수 있잖아.,0,korean
总是怪异,1,chinese
اللهم كن لإخواننا في #العراق و #سوريا و #بورما و #اليمن و #فلسطين وسائر بلاد المسلمين ..اللهم أعز الإسلام والمسلمين وأذل الشرك والمشركين,0,arabic
update my gran called me an emo and walked out,0,english
Really want to see the goggleboxers watching Bridgerton Gogglebox,0,english
掌柜的那把您这手冻得够戗吧,1,chinese
贾队长怕你们俩饿着,0,chinese
최근에는 리무진의 '신호등'을 자주 듣고 있습니다.,0,korean
Bristol is absolutely littered with students!! Glad I never was one,1,english
所以他刚才来找我呀,0,chinese
"그래, 엄마랑 걷는 것도 좋아하는데 이 미세먼지 때문에 그것도 제약받고 있어.",0,korean
