text,label,language
I would do so much for people that would do absolutely nothing for me lol at least i know who my true friends are,1,english
"아니, 해외여행은 할 수 없으니 가까운 곳만 다니잖아.",0,korean
“The App Store [is]... an economic miracle” but Apple magic not working today at AntiTrustHearings Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today HouseJudiciary HTTPURL,1,english
"Und Schuld an unserem kollektiven Gefühl ist natürlich Donald Trump und seine bescheuerten Zolle. Ich glaube, die hat er ausgewürfelt. Wahrscheinlich mit demselben Würfel, mit dem Elon Musk die Namen für seine Kinder ausgewürfelt hat.",1,german
الصورة ليست في سوريا او فلسطين إنما في ليبيا #بنغازي والسبب ان مدينة مارقة اسمها #مصراته تريد ان تحكم ليبيا وتحرق الأخضر واليابس#بوكرشة,0,arabic
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",1,english
好多家都没粮食吃,0,chinese
user: شاهد | #أردوغان للعبادي: أنت لست من مستواي ولا من قيمتي.. الزم حدودك! http,1,arabic
wait what the fuck that solo yolo is mad?,1,english
그냥 너무 바빠서 몸이 힘들어. 하루에 몇 시간씩 일하게 되니까.,0,korean
그럼 그 가락국숫집은 진짜 고급스러운 집이겠군요.,0,korean
"Also wenn Akteure wie die Landesforstanstalten öffentliche Akteure Mitglieder sind in einem privaten Lobbyverband der Waldwirtschaft, dann ist das ein massiver Rollenkonflikt.",0,german
咋突然间不讲道理呢,1,chinese
"I think this is growing up...I never watch vh1 or MTV anymore, only hgtv and the food network...oh and of course SVU",0,english
user: http الفلبين يشتم باراك أوباما#الإمارات_بعيون_عربية http,1,arabic
يا مرسي يا خاين يا عميل، عيالك الأمريكان قتلوه,1,arabic
그럼 그만큼 사람들에게 사랑받는 집이겠군요.,0,korean
just realised the first time I will listen to Red (taylor's version) will be on the way to printworks so I will literally be crying in the club,0,english
上课我硕士都快毕业了,1,chinese
"ريكي مارتن خطب واحد ""سوري"" يا فرحه امك بيك والله",1,arabic
我怎么觉得这个像没干的水泥啊,1,chinese
음... 아직까지는 크게 문제는 없는 것 같아요. 하지만 운동량 대비 효과가 크게 보이지 않아서 조금 힘들긴 해요.,0,korean
我实事求是好吗,0,chinese
没事的叔叔,0,chinese
If only people would care as much about poverty and social equality the way they do jumping up and down for Team Remain or Team Leave.,1,english
"Wir haben jetzt in dieser Sendung viel darüber gesprochen, was der reichste Deutsche mit seinem Geld macht, woher es kommt und wie er sich weigert, auf die Geschichte seines Vaters und seines Unternehmens zu blicken.",0,german
Can't help but feel a bit pissed off with Kane after this. It's fair he wants to leave but he signed a contract. He doesn't get to throw a hissy fit and get a transfer that is financially unjustifiable. It's an unimaginably huge privilege to play football professionally. Turn up.,0,english
这是天经地义的事呀,1,chinese
It really bugs me when teachers uncap and recap highlighters three or four times per book when marking - Poor time management! efficiency,1,english
نتهم عصام العريان وحزب الحرية والعدالة بإحداث فتنة وقتل وإصابة مصريين,1,arabic
真的就根本就没动手,0,chinese
"بعض خريجي #الأزهر ""يخرفون"" في خطبة الجمعة #أخبار #مصر",1,arabic
Superposition of Eulers,0,english
Als verantwortungsvoller reichster Mann Deutschlands könnte man dieser Geschichte also durchaus mehr Raum auf der Firmenwebseite widmen.,1,german
"Geschamed vom eigenen Arzt. Das ist wie vom eigenen Labrador belehrt werden, dass man zu anhänglich sei.",1,german
@USER Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! FancyAMcDonalds,1,english
"27 Prozent. Das ist sogar noch optimistisch gerechnet. Denn Bund und Länder werten eine Dienstleistung schon als online verfügbar, wenn sie von nur einer Kommune angeboten wird. Mit der Logik ist RWE klimaneutral, nur weil sie in Brunsbütteln ein Windrad aufgestellt haben.",1,german
مو معقوووولة لاعبين بهالحجم غياب لاعب حتى لو هاللاعب هو #ميسي ياخي شلون تبي تحقق مونديال وأنت بدونه ضاااااايع !!!!#الارجنتين_البارغواي,1,arabic
Schon bei der Fußball-EM letztes Jahr war der größte Angstgegner aller Fans die Deutsche Bahn. Dicht gefolgt vom Stau in NRW.,1,german
你和我都不是这么想的,0,chinese
谁怀孕了,0,chinese
Spanish farmers block traffic with tractors to demand fair prices for producers HTTPURL,0,english
user: اردوغان عامل حفلة صغيرة لبوتين المتوحش اللي بيبد الشعب السوري ،بس شكله كده معزمش خاشفجي على الحفلة اتفضل يا خاشفجي المايك…,1,arabic
been in college for 3 weeks and learned that I've been experiencing the educational form of racism my whole life and that im probably dyslexic,0,english
@USER Actually I've extrapolated based on the last daily candle and it turns out BTC will be sub-zero by December. The math doesn't lie.,1,english
"알레르기가 있는데도 불구하고 유기묘 카페를 방문하다니, 정말 용감하신 분이시군요.",0,korean
너무 어려워. 로켓과학 같은 거지.,1,korean
她为什么要埋怨我们呀,1,chinese
"아, 그래서 푹 잘 수 있겠군요. 좋은 일이네요.",1,korean
"Es geht heute schließlich nicht um den berühmten Raumfahrtpionier, der eine problematische Vergangenheit im Faschismus hat. Nein, es geht heute um den berühmten Raumfahrtpionier, der eine problematische Zukunft im Faschismus hat.",1,german
@USER And with a plentiful supply of rhubarb.,1,english
"Also, ziehen wir mal ein Zwischenfazit. Menschen mit Mehrgewicht werden ungeniert beleidigt, schlechter behandelt oder bezahlt. Dabei leiden viele von ihnen unter einer anerkannten Krankheit, aus der sie nicht so einfach rauskommen.",0,german
龙二龙二爷,0,chinese
그렇군요. 아마도 힐링이 필요하신 것 같네요.,0,korean
never drinking again,1,english
Genau so und nur so gewinnt man die Herzen der Menschen.,1,german
user @user الجيش الحر قاتل النظام قبل ظهور داعش,0,arabic
imagine being able to sleep haha can’t relate,1,english
"Also, gerade kleine und mittelständische Unternehmen leiden wohl besonders unter der Bürokratie.",0,german
user رساله السيسي يبقى سيسي وانت المرة الجاية صور السيسي من الخلف وقدام عريات تحب تصوير الخوازيق انت,1,arabic
"Adipositas und zunehmende Übergewichtigkeit sind ein Problem, aber vor allem für die Betroffenen. Und das muss die Gesellschaft viel ernster nehmen. Denn wenn etwas ganz bestimmt nicht dagegen hilft, dann ist es Fettshaming.",0,german
"아, 그 영화 정말 재미있겠네요. 다음에 저도 보러 가야겠어요.",0,korean
那你可以在租来的房子里结婚,1,chinese
"So, das Gute an der Idioten-Battle, egal wer verliert, es trifft in jedem Fall den richtigen.",1,german
你忘记掉了以前这个小鬼头,1,chinese
"스쾃을 그렇게 많이 해도 자세가 아직 모르신다니, 진짜 열심히 하시는 분이시네요.",1,korean
满座大丈夫尽作女儿态,1,chinese
اللي يشوفك يتمنى يكون مثلك واللي يعرفك يحترمك ويحبك واللي يسمع عنك يتمنى يقابلك ! #حاول,0,arabic
저는 60대입니다.,0,korean
لقد قدم قضاة مصر وقواتها المسلحة أرفع المثل في البذل والتفاني من أجل انجاح العملية الانتخابية وتأمين ارادة الشعب ولن تنسي مصر لهم ذلك,0,arabic
"Alter, das wäre doch der perfekte Slogan für die Deutsche Bahn. Pünktlichkeit oder so ein Quatsch.",1,german
근데 배고픈 게 문제야. 외출 안 하니까 식사를 많이 해.,0,korean
"그럼 고양이 알레르기가 있어서 다행이네요, 덕분에 뮤지컬 음악에 집중할 수 있으니까요.",1,korean
'분노의 질주' 보면서 정말 행복해질 수 있겠다.,1,korean
"아, 그래서 내가 세상에서 가장 낭비적인 사람이라는 거구나.",1,korean
"허어, 정말 건강한 식습관을 가지고 계시네요.",1,korean
混蛋太君能这么不长眼吗,1,chinese
user اين يمكن ان اجد تخصص الجوده في الخدمات الصيدلانيه في جامعات بريطانيا ؟,0,arabic
Got complimented on my skills in da kitchen today by both my managers and the head chef lfg,0,english
If your flight is delayed more than the length of the flight itself everyone should get free booze cc: @USER,0,english
"아, 그러니까 완전히 한 끼를 대신하셨군요.",1,korean
그럼요. 생선 구우는 거랑 라면 끓이는 거랑 별 차이 없어요.,0,korean
娘这是什么,0,chinese
너 진짜 패션에 대한 열정이 대단하다. 이제 옷장 사는 것도 고려해 봐야겠네.,1,korean
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. HTTPURL,1,english
I’m getting the vaccine on Wednesday,0,english
你说是他好还是李若秋好啊,0,chinese
مقتل طفلة وإصابة طفل فى انفجار عبوة بدائية بالقاهرة http #غزة #فلسطين,0,arabic
이런 빠른 대처를 보니 우리는 정말 렌터카 없이 여수에 가지 못할 것 같아.,1,korean
الولايات_المتحدة : غرامة الف دولار لاى شاحنة تمد المعتصمين والمحتجين على مد خط الانابيب فى نورث داكوتا بالمؤن بعد صدور امر الاخلاء,0,arabic
جْ_سِ_كِ#ابّوَقًيَسِ_الُاسِدِ_#الولايات_المتحدة#تشوركين : القوات المسلحة السورية حققت أكبر نصر معنوي لها في... http,0,arabic
"Und Kinder, wenn wir schon so viel Geld ausgeben, dann bitte nur für Zukunftsinvestitionen.",0,german
"Leute, Leute, was ist denn los mit euch? Wir müssen bitte dringend aufhören, unsere Kreditkarten wegzunaschen. Dafür waren die nie gedacht.",1,german
其实我也不知道该怎么办,0,chinese
thank you @USER i just shit my pants very cool ranbooemail,1,english
"@USER imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though",1,english
why do i check the weather app like it's social media,0,english
"Wenn Sie AbschiebeTV technisch nicht empfangen können, geht natürlich auch WeltTV, das ist quasi das Gleiche.",1,german
"Aber wo kommt das ganze Mikroplastik eigentlich her? Da sind Textilfasern dabei, Reste von zerfallenden Plastikverpackungen und jetzt kommt es erstaunlich viel Reifenabrieb. Reifenabrieb. Gut, das ist definitiv nicht meine Schuld. Ich bremse so gut wie nie, aber wie viel ist das denn so?",1,german
"아, 약국에 물건 팔아야 할까 봐 걱정했는데 다행이네요.",1,korean
"Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)",1,english
@USER But what were the ratings?? (Replied to his Tweet with the same thing.),1,english
"아, 그럼 무척 운동한 후 같은 기분이 들었겠군요.",1,korean
"그럼 이제 선글라스와 모자 없이는 나갈 수 없겠네요, 패션 아이콘이 될 기회네요.",0,korean
我想想啊哪个连队的,0,chinese
Aber vielleicht ist der kleine Elon noch mal aus dem Fenster geklettert und hat heimlich seine neofaschistische Freundin getroffen. Wir wissen es nicht.,1,german
"حكومة الاحتلال الإسرائيلي تطلق اسم الرئيس الأسبق شمعون بيريز على مركز ديمونا النووي، خصوصا أنه كان يعرف بـ ""أب... http",0,arabic
كلها بقت احمد الشيخ اهو,1,arabic
"135 مليون جنيه إجمالى خسائر الشركة نتيجة غلق محطتى ""السادات والجيزة"" حتى الآن! #انتخبوا_البرص",1,arabic
"오 짠 치킨이라, 음료수는 따로 안 시켜도 되겠네.",1,korean
"Keine Restriktionen. Wie praktisch. So wie Airbnb keine Hotels betreibt und Uber keine Taxis, macht Heil keine Außenwerbung.",1,german
班长你弄啥呢一日一练,1,chinese
总想表现你自己啊,1,chinese
I do embroidery on tote bags and jumpers over on my depop for cheap prices please go check it out would mean the world to me! depop embroidery totebags @USER @USER on depop HTTPURL,0,english
呸,1,chinese
دونالد ترامب صايع و لسانه خارب مش عارف كيف يبي يحكم أمريكا,1,arabic
인상이 좋지 않아. 눈치 보이고 얼굴이 불편해 보여.,0,korean
"Walking home from work and it’s dark so I’m a bit jumpy. Notice someone following me on the other side of the road so speed up. The follower also speeds up, legged it all the way home and realised that I’m 26 and literally scared of my own shadow",0,english
"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell. Oh wait.",1,english
"Naja, ich sag mal für Trumps Kabinett wäre so ein Sack Backsteine wahrscheinlich überqualifiziert.",1,german
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههلا بس اضحك ع الي يقول ديبالا خليفة ميسي,0,arabic
"Ja, laut Langenscheid Wörterbuch für Behördensprache bedeutet das, leck mich am Arsch.",1,german
Seit der letzten Inventur sind nämlich allein 400.000 Fichten abgestorben. Eine Fläche größer als das Saarland.,0,german
"아, 그러니까 고객들이 문제를 일으키면서 동시에 그 문제를 해결해 주는 거군요.",0,korean
7_ انا عاوزة احرق #أماني_الخياط بالغاز,1,arabic
بيقولك #صباحى نفى تصريحاته عن محاكمة #السيسى و قال عنه إنه بطل شعبى -عندة اننفصام فى شخصية الحزين ده والله,1,arabic
"Ja, Migration steuern und begrenzen kann man machen, muss man vielleicht sogar machen, aber doch nicht so, Freunde.",1,german
فيديو خد ياض خلاص روح ياض الاسبوعي http,1,arabic
"Duodenum, Jejunum, and Ilium would be cute names for triplets, don’t @ me",1,english
"Manche Experten sagen, Deutschlands Chancen seien eher schlecht. Also zumindest für 2036, dass wahrscheinlich nach Indien oder Katar geht.",0,german
"Auch Innenminister Dobrindt meint, das sind doch bloß Einzelfallentscheidungen. Dabei hat das Gericht die Argumentation der Bundesregierung grundsätzlich zerpflückt. Durch den Häcksler gejagt und nochmal draufgespuckt. Metaphorisch gesprochen.",1,german
"I asked my husband to buy dog poo bags when he went out earlier and they'd sold out. So instead of going to another shop, he bought bin bags. So now I still can't clean up after the dog but if I happen to buy a donkey and need to clean up after that, I'm sorted.",1,english
"""@USER: FLORIDA YOU LITERALLY HAVE ONE JOB""",1,english
بحسب الجزيرة ميدان التحرير يتسع ل 500 ألف مصري أو 2 مليون إسلامي,1,arabic
그럼 너에게 물은 '진짜' 커피처럼 느껴지겠네.,1,korean
"아, 그래? 내가 강아지를 잘 못 키울 것 같아서?",0,korean
솔직히 모르겠어요. 처음 시도하는 거라 소스 추천 좀 부탁드려요.,0,korean
ERROR: 404 HTTPURL,0,english
user اعلان خالع,1,arabic
你怎么现在跑到后面去坐了,0,chinese
"아니요, 그래도 그 싱거운 국물이 생각나서 다음에 또 먹어볼 생각입니다.",1,korean
"Die Basis von Kühnes Vermögen stammt aber von dem Unternehmen, das er geerbt hat und das seinen Namen trägt.",0,german
"Angeblich sollen solche Spiele auch uns Bürger motivieren, mehr Sport zu treiben. Aber sagen wir mal so, ich habe schon 14 Sommerspiele erlebt und Sie sehen ja selbst...",1,german
"Ja, alle reden nur noch über die USA, nur halt nichts Gutes.",1,german
الفلولي مصطفى بكري ينسى اسم ولي أمرهفيكتب (أيوب) بدل (منصور) اللهم لا تزد الانقلابيين إلا ضلالا! …,1,arabic
every time something happens to the stock market it just becomes more and more clear that i don’t understand the stock market,0,english
الاعلام الغربي شغله الشاغل ترامب + مؤخرة كيم و كايلي فقط #حقيقة,1,arabic
"Gut, ich geb's zu, in einem Punkt entspricht unser Comic natürlich nicht der Wahrheit. Musk hat zu dem Mann nicht, du blöder Taucher, gesagt. Er hat ihn als pädophil bezeichnet.",1,german
对了明天需要我盛装出席吗,1,chinese
"우와, 그런 결단력 정말 본받아야겠어요.",0,korean
6 more hours and then a whoppingly massive 2days off work! wowzers!,1,english
"Übrigens schon seit Monaten geplant, aber ich denke mal Nummer 17 hier wird Putin endgültig in die Knie zwingen oder wie waren die ersten Reaktionen im russischen Staatsfernsehen?",1,german
정말? 그럼 당신은 정말로 행운아 시네요!,1,korean
试问足下那时候,0,chinese
"Ewige Chemikalien, man findet sie überall, im Regen, in menschlichem Blut, selbst in der Arktis wurde PFAS jetzt schon nachgewiesen, in der Arktis.",0,german
اسكندرية : محطة الرمل زمان أو دلوقت دايما جميلة,0,arabic
"Die Abnehm-Spritze ist ein Medikament, das adipösen Menschen helfen kann, aber eben auch Schattenseiten hat. Und zwar ganz schön erhebliche.",0,german
"Yes, it's unfortunate that we are in lockdown again - however, this blame mentality isn't helping anyone. With everything we've experienced during lockdown, we shouldn't move forward with divisive and unkind comments but instead with unity and compassion leicesterlockdown",0,english
"ومبروك ل #لبنان انشاء وزارة دولة "" #حقوق_المرأة "" هههههههه",0,arabic
Second hand embarrassment for anyone that actually queued to get into a nightclub last night,0,english
user: الفشل الأممي في وقف الارهاب السعودي سيؤدي لدعم وإنتشارالإرهاب وسيدفع ثمنه الغرب بأسره,0,arabic
Tell my 18 month old to not put what is in her hand into her mouth. Her solution: try to shove it in Mom's mouth. olilogic,0,english
先生的母亲就如同我的母亲,0,chinese
جوجل تتحدّى #أبل و #سامسونج عبر #هاتفها_الذكي الجديد http #تكنولوجيا @user http,0,arabic
我哪儿也不去这儿挺好,0,chinese
"Die beiden Big Player sind Ströhr und Waldeko. Und wie dieses Tortendiagramm unschwer erkennen lässt, hat sich die Firma Ströhr ein besonders großes Stück vom Außenwerberkuchen gesichert. Also ich bin jetzt keine Expertin für Konditorei, aber nennt man sowas in der Fachsprache nicht. Monopol?",1,german
It’s “let’s see how many crumbs I can find in scarf” szn.,1,english
user أهل ريال مدريد ركزوا بأندية العالم Good luck,0,arabic
"Also während wir ja zum Beispiel wirklich leidenschaftlich gerne Steuern zahlen, ist das ein weiterer Luxus, auf den Kühne verzichtet.",1,german
Und jetzt kommt's. Neuerdings droht er sogar Donald Trump im Zollstreit mit der gefährlichsten deutschen Geheimwaffe seit der V2. Mit Steuern.,1,german
"Dass Beamte an politischen Schrauben drehen und mit harten Bandagen an der politischen Front kämpfen, ist auf jeden Fall eine ganz neue Berufsbeschreibung für einen Staatsdiener.",1,german
I wish I had a green thumb,0,english
"아니요, 제가 보는 것은 건강식품에 관한 먹방입니다.",0,korean
"At this time more than most, it is important to celebrate Pride2020 No one should ever be afraid to love who they love, or to show it. Pride",0,english
你又在骗我吧,0,chinese
어쩜 그렇게 햄스터가 세상에서 가장 귀여운 스타가 될 수 있겠어.,1,korean
"Also, dieser BMI ist uralt und sagt wenig aus über die Gesundheit eines Menschen. Hm, das sind gute Gegenargumente. Behalten wir trotzdem als Maß, oder? Ja.",1,german
Hahahah @USER is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! CovidIsNotOver karmaisabitch Covid_19,1,english
코로나 때문에 집에서 편안하게 휴가를 보내게 되셨네요.,0,korean
你还要我说什么呀,0,chinese
아 그래요? 다음부턴 미리 말씀해 주시면 좋겠네요.,0,korean
والغاز مش مدعوم يا إنسان؟ وماذا عن الأسمنت والحديد والأسمدة؟ واضح أنك تفهم أقل من الحيوان,1,arabic
WTF is Tim Horton’s?,0,english
"Novo Nordidk gibt auf Nachfrage an, dass Nebenwirkungen bekannt und vermerkt seien und bislang keine Anzeichen für das Risiko einer schweren, langanhaltenden Magenlähmung bestünden.",0,german
ميسي قاعد يتابعكم الحين على القليل احترمو هذا الشي يا عاهات,1,arabic
"오, 매일 새로운 도전이 있으니 삶이 즐겁겠네요!",1,korean
"아, 그래요? 검은색이 정말 잘 어울릴 것 같네요.",1,korean
"Wenn es den Reichen gut geht, dann geht es uns allen gut.",1,german
组织上不让江德福干了,0,chinese
قسما بربي لو رأيتك أمامي لجعلتك جثه هامده تأكل منها الكلاب,0,arabic
"그럼, 당신은 정말로 다른 사람의 고통에서 즐거움을 느끼시는군요.",0,korean
你们有病吧,1,chinese
user اه فهمت ..بيغني للامشكرا يا محمد ..جستن بيبر ده مجنن الولاد عندي,1,arabic
每时每刻都在饱受教益,1,chinese
I’m really looking forward to not hugging my friends and family through choice rather than by law.,1,english
"Denn das kann ich Ihnen am Ende unserer Sendung sagen. Je tiefer wir uns in das Thema eingegraben haben, umso fassungsloser waren wir, was sich dafür gestalten tummeln.",0,german
"So, noch in diesem Jahr sollen Voraussetzungen für Wehrerfassung und Wehrüberwachung geschaffen werden. Das heißt, wir müssen hier erstmal rauskriegen, wen wir überhaupt noch im Bestand haben. An wehrfähigen Reservisten zum Beispiel.",0,german
