text,label,true_label_str,pred_few_shot_baseline
if trees would simply stop producing flammable leaves climate change would not be an issue,0,literal,sarcastic
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.",0,literal,sarcastic
Love it wen people try and stop my friends seeing me! Looooolll.,1,sarcastic,sarcastic
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",1,sarcastic,sarcastic
tiktok's full name is tictactoetok,0,literal,sarcastic
"Packing to move house, and currently wondering why I had to pick such a heavy hobby? Like, why did I have to pick reading? Books are so heavy, my back hurts. Why couldn’t I have picked knitting? Yarn is light",0,literal,sarcastic
Taxes are just the best and I cannot wait to pay more,0,literal,sarcastic
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore freezing,0,literal,sarcastic
"Lucky for @USER , only MVPs get tossed for those kinds of fouls 76ers ATLvsPHI hawks NBAPlayoffs",1,sarcastic,sarcastic
alright I’m ready for some march madness,0,literal,literal
"Stimulus checks should come with hand lotion, a face mask, and a bonus for every Instagram bingos you do",0,literal,sarcastic
I'm literally out here trading eggs for potatoes Day 1 in our new dystopian society is going well coronavirusUK coronavirus,0,literal,sarcastic
Why are the side effects of antidepressants so scary,0,literal,literal
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. ncfc",1,sarcastic,sarcastic
Happy birthday to me!! I’m 30!,1,sarcastic,literal
@USER Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,1,sarcastic,sarcastic
School psych life if fun because you can feel like complete shit but chances are you have meeting that determines changes in a student’s education that’s bound by legal timelines and took coordination of 6 different schedules and you’re the only one who can run it,0,literal,sarcastic
Who's ready for monsoon storms allllll weekend?!?!,0,literal,sarcastic
my favorite gay drama is the social network,1,sarcastic,sarcastic
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1,sarcastic,sarcastic
@USER @USER absolutely no response from Luna Cinema and my completely factual review on See Tickets has been moderated and will not be published great to see @USER looking out for their customers. Excellent customer service all round,1,sarcastic,sarcastic
Shout out James Boswell unibowl,1,sarcastic,literal
"@USER Yes, because we really have that sort of power. Why do brexity types always sound like they are all paranoid conspiracy therorists?",1,sarcastic,sarcastic
Big day in the Mumford house sports day,0,literal,literal
"our lord and savior, frank ocean, has saved us all once again.",1,sarcastic,sarcastic
WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,1,sarcastic,sarcastic
Day 3 of night shift: “Can I get a triple shot puppuccinio?”,0,literal,sarcastic
What a wonderful time to have your AC go out HTTPURL,0,literal,sarcastic
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag",0,literal,sarcastic
My favorite part of flying is getting to walk past the rich people to get to my poor person seat.,0,literal,sarcastic
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent,1,sarcastic,sarcastic
"@USER @USER Ahh yes, quick peek at your page and you obviously know everything. Thank you for the enlightenment.",1,sarcastic,sarcastic
"It was almost 70 degrees today but no, global warming doesn't exist",0,literal,sarcastic
Efy is great,0,literal,literal
"@USER I think lunch was ready at the care home, then it was time for nap and then Countdown.",1,sarcastic,sarcastic
The only thing I got from college is a caffeine addiction,0,literal,sarcastic
"Here comes the final of the UK DailyBriefing - who will win, Johnson or Covid?",0,literal,sarcastic
"No joke, air-fried Twisted Teas are THE BEST.",0,literal,sarcastic
@USER Riveting news.,1,sarcastic,sarcastic
Hot dog eating contest as a form of assisted suicide,0,literal,sarcastic
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. HTTPURL",0,literal,sarcastic
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. schoolclosure,0,literal,sarcastic
Good news: Played out of my mind from the sand traps today. Bad news: Was in the sand traps a lot today.,0,literal,sarcastic
omg there’s a sheet of ice in front of my school. should I slip and fall?,0,literal,sarcastic
I love giving a lecture to grad students on a topic I don't fully understand at 9:30am &lt;3 i need a coffee lmao,1,sarcastic,sarcastic
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare HTTPURL",1,sarcastic,sarcastic
"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released konami PT SilentHills Spooky PlayableTeaser Kojima",0,literal,sarcastic
watching tik toks at full volume in the middle of the airport should be a federal offense,1,sarcastic,sarcastic
I may look happy on the outside bit on the inside I'm dying painful sad,1,sarcastic,sarcastic
hot girls have tree shaped dents in their rear bumpers ️,1,sarcastic,sarcastic
"ah yes, of the course the summer rain pours when im on foot.",0,literal,sarcastic
we used to make fun of rich men for using 3in1 turns out they were never using anything at all,1,sarcastic,sarcastic
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,1,sarcastic,sarcastic
no more instagram. we must all return to scrapbooks.,0,literal,sarcastic
It's been a productive last day. Maxed Out all my credit cards in preparation of my Rapture tomorrow!!! iwishwehadallbeenready,1,sarcastic,sarcastic
Good morning September... Hello tonsillitis :(,0,literal,sarcastic
"@USER @USER Do you really believe that? I'd put more faith in the giant pumpkin. Wait a minute, he is the giant pumpkin!",1,sarcastic,sarcastic
"the audacity of the neighbors to mow the lawn while i'm trying to sleep, at 6:30pm",1,sarcastic,sarcastic
it’s so rude that i’m not at the beach right now,0,literal,sarcastic
i would rather be outside reed timmers car in f3 tornado winds than go to work today,0,literal,sarcastic
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis HTTPURL",0,literal,sarcastic
Wow Bdubs can bench press 150 kilometers,0,literal,sarcastic
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,1,sarcastic,sarcastic
"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez",0,literal,sarcastic
"I’m so glad I know the quadratic formula from 8th grade instead of knowing how to pay taxes, get ready for college, oh OR ANYTHING ELSE USEFUL THAT INVOLVES BECOMING AND ADULT",0,literal,sarcastic
Men will literally fake an injury on the football field instead of going to therapy,1,sarcastic,sarcastic
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it... Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1,sarcastic,sarcastic
wait what the fuck that solo yolo is mad?,1,sarcastic,sarcastic
hey quick question is it fall or spring???,0,literal,literal
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @USER shared helpful links and actually said black lives matter... we love capitalism,0,literal,sarcastic
"""coping strategies to help with tinnitus and hearing loss: see a doctor!"" Wow thanks internet",0,literal,sarcastic
2 busy working 2 care,1,sarcastic,sarcastic
6 more hours and then a whoppingly massive 2days off work! wowzers!,0,literal,sarcastic
Searching for Pokemon later because I hate myself haha !!!,1,sarcastic,sarcastic
Entry level jobs that require 3 years prior experience ly,0,literal,sarcastic
@USER @USER you’re trash,1,sarcastic,sarcastic
Woke up at 3 am with a MAD craving for pickles. I guess that means I'm expecting!,0,literal,literal
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay!",0,literal,sarcastic
thats it im packing my things and moving to italy see u all in a month xo,1,sarcastic,literal
If only people would care as much about poverty and social equality the way they do jumping up and down for Team Remain or Team Leave.,1,sarcastic,sarcastic
I never thought I’d have a mortal enemy but it’s whoever keeps printing on blue paper and then leaving like 5-10 blue sheets in the math room copier when they’re done for the next unsuspecting person,1,sarcastic,sarcastic
but clinton's emails! oh. emm. fucking. gee. clinton's god damnèd emails. the humanity of it all. HTTPURL,1,sarcastic,sarcastic
"""Alexa add small bananas to the shopping list."" I've added smooth armours to your shopping list."" Gee thanks Alexa! alexa",1,sarcastic,sarcastic
"Horse dancing is my new favorite Olympic sport, I have no clue what’s happening, but this is incredible",0,literal,sarcastic
Mad how many cars they make now without indicators,1,sarcastic,sarcastic
We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,1,sarcastic,sarcastic
Semester hasn’t even started and I’ve already had two breakdowns :) this is gonna be a fun one!,1,sarcastic,sarcastic
First day of school and spectrum internet has already shit itself. Amazing,0,literal,sarcastic
The high tomorrow is 45! Anyone wanna go to the pool?,0,literal,literal
"me: revises cells + other general biology stuff edexcel: ""i want a fit summer bod, get them to tell me how i get one"" EdexcelBiology Gcses2018",0,literal,sarcastic
Don’t you just love it when they dig up your road at 8:30am on a Saturday,1,sarcastic,sarcastic
In sunny spain at the moment!!! Hows it all in england?,0,literal,literal
@USER @USER Did you even watch a single la Liga madrid game last season bruh Varane isn’t that good anymore,1,sarcastic,sarcastic
Top 3 ranked video games of all time: 1. Minecraft 2. Roblox Paintball 3. Every single Just Dance,1,sarcastic,sarcastic
came home to realize my family found and read my quarantine journal lmao lucky I didn’t get involuntarily committed wtf,1,sarcastic,sarcastic
NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND LoveIsland,0,literal,sarcastic
My work email isn’t working so I can just log off for the day right?,0,literal,sarcastic
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice",0,literal,sarcastic
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months. @USER,0,literal,literal
i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,1,sarcastic,sarcastic
“If I could have changed anything about my childhood I would have never watched spongebob” -no one,0,literal,sarcastic
They really said you can’t have nice weather AND no lockdown for your bday this year huh,0,literal,sarcastic
Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,1,sarcastic,sarcastic
"""friends""",1,sarcastic,sarcastic
"@USER @USER Well, illegal immigrants categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia...",0,literal,sarcastic
I love not being pregnant so much it’s my fave thing about myself,1,sarcastic,sarcastic
I'm the highest I'll ever be on 420 in my life! I'm on an airplane duh,0,literal,sarcastic
everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me….rude /j,1,sarcastic,sarcastic
What kind of sins have y’all been committing for God to punish us with this kinda weather...,0,literal,sarcastic
"Wizkid is the king, ok lol",1,sarcastic,sarcastic
I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,0,literal,sarcastic
I love when I start choking on my water in my 8 person class,1,sarcastic,sarcastic
I just don’t think it’s too much to have a perfect life with absolutely no problems ‍️,1,sarcastic,sarcastic
Sick of being healthy already pissing like a racehorse !! Keep Well hydrated Han 4th litre of water,1,sarcastic,sarcastic
Lovely day to be stuck at the mall with a dead battery.,1,sarcastic,sarcastic
me not turning up to work is a feminist movement actually,1,sarcastic,sarcastic
"Wait didn’t covid go away?? It’s after November third so it definitely should be gone now...wait...I’m confused...121,000 cases in a day? You’re telling me THE WHOLE WORLD didn’t fake a pandemic for the US election? No way...",1,sarcastic,sarcastic
is this an earthquake because i am shook right now,1,sarcastic,sarcastic
yes i have little interest in doing things that applies to me,1,sarcastic,sarcastic
See Brexit is going well,0,literal,sarcastic
how do I get my boyfriend in a maid costume?,1,sarcastic,sarcastic
wow. i left on time today and the airport connector is all the way backed up. love that,0,literal,sarcastic
Just getting some WD40 on my letter box to help the poor postman with his delivery today valentinesday2021 WD40,0,literal,sarcastic
I can't wait to name my children after things I will never have. My daughter will be Hope. My son will be PS5 because that shit is expensive.,1,sarcastic,sarcastic
Football is turning into an anatomy lesson. COOL,1,sarcastic,sarcastic
Funny how my phone starts turning into a piece of shit when the new iPhone comes out,0,literal,sarcastic
also if u met dream on hypixel.. congrats ! im not jealous at all haha im totally normal haha Good For You .. haha,1,sarcastic,sarcastic
What a Race ! WTF1 HTTPURL,0,literal,sarcastic
good evening sharks. hooters but for feet.,0,literal,sarcastic
High stakes legos,0,literal,sarcastic
it's all about women in stem struggles. what about women in interactive media struggles: i no longer win against my friends in smash because they major in goddamn video game.,0,literal,sarcastic
When I grow up I wanna be a sociopath,1,sarcastic,sarcastic
"apparently it's the biggest ask on the planet to find decently priced sandals with an enclosed toe. PLEASE, INTERNET. I just want to have vaguely summery shoes that don't involve me having my toes out to the world at all times lmfaoo",0,literal,sarcastic
"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell. Oh wait.",1,sarcastic,sarcastic
How bout you dont use a gazillion filters on your pictures,1,sarcastic,sarcastic
accidentally followed CCD guidelines instead of CDC guidelines and now i have covid AND catholic guilt :/,1,sarcastic,sarcastic
"love island is ending, law school is starting again…summer is really over",0,literal,sarcastic
It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really ‍‍‍,1,sarcastic,sarcastic
"My dad just said to me, “Hey, you’re kinda skinny, can you slip behind the fridge to look at something?” and it might be the nicest compliment I’ve ever gotten. So guys, go tell your girl you think she’s kinda skinny",1,sarcastic,sarcastic
was not aware that Crocs were appropriate business casual attire.,0,literal,sarcastic
Jaegermeister did 9/11,1,sarcastic,sarcastic
my super power is always biting into the sour cream side of the burrito no matter what,1,sarcastic,sarcastic
"@USER I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",0,literal,sarcastic
my computer does this fun thing now where it shakes in a way that exactly replicates what happens to my vision when i forget my meds so that’s exciting !,0,literal,sarcastic
July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. Can’t wait for part 2. murderhornets,0,literal,sarcastic
@USER @USER buy really rare pokemon card,1,sarcastic,literal
Is spunk a slur?,0,literal,sarcastic
okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,0,literal,sarcastic
love waking up in a panic,0,literal,sarcastic
Hey what's the weather like today? Am I going to need an umbrella?,0,literal,literal
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,1,sarcastic,sarcastic
"Wow. Liam Neeson is coming across as a rational man,isn't he!!?",1,sarcastic,sarcastic
I’m gonna miss scantrons shortening my name to “Christ” after 16 years,0,literal,sarcastic
Ah gotta love that Friday morning burnt out feeling,0,literal,sarcastic
Roses are Red Violets are Blue My first love was Championship Manager Tommy Svindal Larsen and Kennedy Bakircioglu HappyValentinesDay,1,sarcastic,sarcastic
It’s so fantastic when you pay £800 a month to live in London in a fully refurbished house and wake up with water dripping on you from the upstairs en suite XXXXXX,0,literal,sarcastic
Overthinking everything in life really takes a toll on you,0,literal,literal
too many dudes are wearing birks with socks on. grow up. get the fucking toes out man.,1,sarcastic,sarcastic
"Oh good, it's time for the bi-monthly random power outage.",0,literal,sarcastic
gaslight gatekeep girl boss,0,literal,sarcastic
"not to brag, but my thesis topic was so good that someone else published on it three months ago",1,sarcastic,sarcastic
getting stopped by tesco security is the highlight of my day,1,sarcastic,sarcastic
I've been doing physics for 40 minutes I think I deserve a break I'm never going to get it all done at this rate,1,sarcastic,sarcastic
I wish that grilled cheese helped you get that summer bod,0,literal,sarcastic
@USER @USER can i use this chiamus for my ap lang speech about parallelism lmao,0,literal,sarcastic
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",0,literal,sarcastic
Having morning sickness when you're not actually pregnant is all the fun,0,literal,sarcastic
On a scale from 1 to 10 how deeply was your childhood influenced by the Hannah Montana 2: Meet Miley Cyrus double album? This is for research purposes.,0,literal,sarcastic
"@USER So worried about him. But if you're looking to save him, based on the topography I'd say it's somewhere on the east coast. Perhaps the Carolinas?",1,sarcastic,sarcastic
Imagine not liking football,1,sarcastic,literal
"Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)",0,literal,sarcastic
"Yeah I’m following a lot of shows right now, the price is right is pretty good but season 1 is better than season 2",0,literal,sarcastic
I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep I’m in gut wrenching pain!,1,sarcastic,sarcastic
jsc bonding nights,0,literal,literal
Corsodyl failing to consider i like being a person who spits blood when they brush their teeth,0,literal,sarcastic
ugh I have to send an email??? how about I just quit!!!!!,1,sarcastic,sarcastic
@USER one of them smonks weed so it's super worth it /s,0,literal,sarcastic
Being 20 years old and going to concerts with my mom means I can scream all the no-no lyrics bc iM aN aDuLt,1,sarcastic,sarcastic
@USER Neighbours,1,sarcastic,literal
