context,text,label,true_label_str,pred_context
"SHELDON: It's not like I was invited to Richard Feynman's house and have anything better to do. | AMY: Is this how the rest of the night's going to be? | SHELDON: I don't know the future. | SHELDON: Do you think there's a chance that an asteroid could hit the Earth, destroying Feynman's house and everyone in it? | AMY: No, Sheldon.",SHELDON: Then buckle up; you're in for a cranky night.,0,literal,sarcastic
"HOWARD: All right, Amy's in charge of pricing and being 75. | RAJ: Hey, Penny, can you give me a hand with this? | PENNY: Sure. Aw, we had one of these growing up. I used to play all the time. | RAJ: Oh, yeah? I love Ping-Pong. | PENNY: Oh, I meant beer pong. | AMY: I had a table, too, but I didn't have any friends, so all I did was serve. | BERNADETTE: You know, you can leave one side up and play against it.","AMY: And if I had a friend, they might have told me that.",0,literal,sarcastic
"BERNADETTE: Like what? Your incomplete set of <i>Star Trek</i> collector plates? | HOWARD: For your information, I just bought the last one I needed on eBay. | BERNADETTE: Without asking me? | HOWARD: There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. | BERNADETTE: How much, Howie? | HOWARD: Not a lot. | BERNADETTE: How much?",HOWARD: Let's not talk about this in front of our friends.,0,literal,sarcastic
"SHELDON: You know, there-there's always WonderCon in Anaheim, you know? | SHELDON: That-That's just as good. | SHELDON: Excuse me. | PENNY: Oh, guys, this is really sad. | PENNY: And in a different way than it was 20 minutes ago.",SHELDON: I can't believe we wasted all that time on our Hulk costumes.,0,literal,literal
"RAJ: Here you go. | HOWARD: Great. Come on in. | RAJ: What, you don't say thank you? | HOWARD: It's my suitcase.
I lent it to you two years ago. | RAJ: Well, then, I should tell you I broke the wheel and the handle. | RAJ: So, is everyone from Bernadette's company going to Vegas?","HOWARD: No, just me, her and a couple of the big wigs. It's part of a bonus she got.",0,literal,literal
"AMY: Your flaring nostrils indicate otherwise. | SHELDON: Cluck-cluck-cluck. | AMY: Sheldon, look at me.
I think it's time to face the fact that Leonard is the nucleus of your social group.
Where he goes, the group goes. | SHELDON: Leonard the nucleus? That makes no sense. | SHELDON: I'm the whimsical elf that everyone looks to for a good time.",AMY: I'm not saying that you're not fun. You're the most fun person I know.,0,literal,sarcastic
"PERSON1: Where's Monica? | MONICA: Over here Dad | PERSON2: How to you zoom out? There she is | JOEY: Some girl ate Monica | MONICA: Shut up, the camera adds 10 pounds.","CHANDLER: Uh, so how many cameras are actually on you.",1,sarcastic,sarcastic
"JOEY: Oh Mommy, Oh Daddy, I am a big ol Baddy. | ROSS: I guess he must have gotten the part in the play.",CHANDLER: Yeah either that or gloria estefan was right eventually the rhythm is going to get you,1,sarcastic,sarcastic
"CHANDLER: Saucy. | PERSON: I'll be back in two minutes. | CHANDLER: You are going to leave me like this | PERSON: Knowing you are here, waiting for me, it is kind of exciting isn't it?","CHANDLER: Okay, but if you are not coming back soon, there is pretty much nothing I can do about it",1,sarcastic,literal
"ROSS: Hi. | RACHEL: What's the matter with you? | CHANDLER: Mean guys at the coffee house took my hat | JOEY: You kidding | ROSS: It was ridiculous, these guys were bullies, actual bullies. We are grown ups, this kind of stuff isn't supposed to happen anymore.","CHANDLER: Oh, wait a minute, I have no one.",1,sarcastic,sarcastic
"RACHEL: Two week straight and she hasn't smoked since. | MONICA: So how did you guys meet? | PERSON1: Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. | PERSON2: And he was my best student. | PERSON1: Yes she was my best teacher.","CHANDLER: If that doesn't keep kids in school, what will?",1,sarcastic,sarcastic
"RACHEL: What if you could keep the apartment and get the tickets. | JOEY: Done | RACHEL: Let me finish, talking about a bet, winner takes all | JOEY: We could end up with nothing. | PHOEBE: Or you could end up with everything | JOEY: I like that! | MONICA: So what do you say? | CHANDLER: No | MONICA: Just do it!","CHANDLER: Oh Oh, I am convinced!",1,sarcastic,sarcastic
"CHANDLER: Hey, I need you to set me up for a joke. Later when Monica is around I need you to ask me about firetrucks | JOEY: I don't know Chandler, I am not so good with remembering lines.",CHANDLER: Well thank God your livelihood doesn't depend on it.,1,sarcastic,sarcastic
"CHANDLER: Okay, lets find these birds. | JOEY: Wait wait, you hear that? There are in the table? | CHANDLER: That can't be good | JOEY: We have to get them out of there | CHANDLER: how? | JOEY: Maybe we can lure them out, you know of any bird calls?",CHANDLER: Oh tons. I am quite the woodsman.,1,sarcastic,sarcastic
"ROSS: Look I drew a sketch of how we are gonna do it ok? Rach, that's you, that's the couch | RACHEL: What's that? | ROSS: Oh, that's me. | RACHEL: Wow! Certainly think a lot of yourself. | ROSS: No, that's my arm.","CHANDLER: Oh I see, I thought you just really really liked your new couch.",1,sarcastic,sarcastic
"JOEY: Oh no no, that's the beauty of it, it goes with everything. You put this on, you are good to go! | CHANDLER: Hell I have never been good to go, so, what the hell why not try some jewellery huh? | JOEY: Oh man! You are so wearing that bracelet! | CHANDLER: I so am | JOEY: You have any idea what this will do to your sex life?","CHANDLER: Well, it will probably slow me down at first. But once I am used to the extra weight, I ll get back on track.",1,sarcastic,sarcastic
"ROSS: So Rachel called, wants to see me. Going over in a minute. | JOEY: Wow, what do you think she wants? | ROSS: Well, maybe the crazy fog has lifted and she realizes that life without me a sucks. | CHANDLER: Its possible, you are very lovable.",CHANDLER: I'd miss you if I broke up with you. Just trying to be supportive.,0,literal,sarcastic
"JOEY: When that guy was robbing us and I was locked in the entertainment unit for like six hours, do you know what I was doing there in all that time? I was thinking about how I let you down. Yeah. But if I had known what kind of friend you would turn out to be, I wouldn't have worried about it so much. See you around! | CHANDLER: Wait! Just wait one second. There has to be something that I can do, something. If we still had that entertainment unit, I would get in there for six hours and think about  how I let you down.",JOEY: We got a box.,0,literal,sarcastic
"RACHEL: I'm really glad Monica asked us out. | PERSON: I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch. | RACHEL: You're sister? You're sister's asleep on the couch? Ohhh! I saw","PERSON: Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.",0,literal,literal
"MONICA: Yeah, I talked to you on the phone, I'm the lady that got stuck with the racecar bed. | PERSON: Look, it's like I told you, there's nothing I can do. You signed for it, Monica Velula Geller. | JOEY: All right, Jester man, look we wanna see the king.",PERSON: Nobody sees the king!,0,literal,sarcastic
"JOEY: Uhh, well I've got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one? | RACHEL: Yeah, sure. Umm .. here. | JOEY: Great.  You got anything that's not","RACHEL: Yeah, I don't think so Joe.",0,literal,sarcastic
"ROSS: OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment. | RACHEL: OK. | ROSS: OK. Here goes. For a while now, I've been wanting to, um....",RACHEL: Ohhh!!!!,0,literal,literal
"PERSON: spring vacation. | ROSS: spring vacation. | PERSON: Oh good. | ROSS: Look, I ..   Look, I'm having a great time with you and I just don't want us to move to fast or put to much pressure on us.","ROSS: So, I'm sorry I just don't think we should go away together yet.",0,literal,literal
"PHOEBE: Yeah! Now, why do you want to kill yourself? | PERSON: It's just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist!",PHOEBE: Chandler?,0,literal,sarcastic
"RACHEL: Oh, but he was my pig man...how did I not see this? | PHOEBE: Oh! I know! It's because... he's gorgeous, and he's charming, and when he looks at you... | RACHEL: Ok, Ok, Pheebs...",PHOEBE: The end.,0,literal,sarcastic
JOEY: Helo! Anybody in there order a celebrity? | PERSON: What was that? | CHANDLER: Oh he is just a crazy guy who roams the halls here. He is great with kids though! | PERSON: Is he alright out there by himself?,"CHANDLER: Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!",0,literal,sarcastic
